Distributor,Region,City,Retailer,Store Code,Address,Latitude,Longitude,Phone,Blue Band Margarine,Lipton Yellow Label Tea,Royco Bouillon Cubes,Knorr Bouillon Cubes,OMO Detergent,Sunlight Washing Powder,Sunlight Dishwashing Liquid,Close-Up Toothpaste,Pepsodent Toothpaste,Lux Soap,Lifebuoy Soap,Rexona,Pears,Vaseline,Axe Body Spray
MUTKEEM CONCEPT,Lagos,Ogba,Elite Stores,RET-LAG-6749,"32 Palm Street, Ogba",6.657605,3.333675,2348066789616,209,124,41,80,27,38,34,12,162,202,117,207,85,176,143
MUTKEEM CONCEPT,Lagos,Maryland,City Bazaar,RET-LAG-9500,"58 Broad Street, Maryland",6.580821,3.363755,2347425091238,16,14,61,201,23,88,53,167,121,43,179,230,74,95,29
MUTKEEM CONCEPT,Lagos,Yaba,City Stores,RET-LAG-5282,"28 Allen Street, Yaba",6.518536,3.386696,2347422578149,142,155,31,30,141,207,218,89,146,177,54,125,72,110,105
MUTKEEM CONCEPT,Lagos,Surulere,Fresh Outlet,RET-LAG-5187,"51 Kings Street, Surulere",6.511185,3.335255,2348239431049,131,201,58,215,73,108,70,115,179,33,120,173,127,229,151
MUTKEEM CONCEPT,Lagos,Maryland,City Retail,RET-LAG-7610,"121 Palm Street, Maryland",6.578807,3.354281,2348874549100,201,249,159,101,191,44,142,81,246,121,63,148,42,233,23
MUTKEEM CONCEPT,Lagos,Alimosho,Family Shop,RET-LAG-7302,"132 Unity Street, Alimosho",6.621214,3.301925,2348471287234,92,27,163,87,249,92,181,206,170,133,76,52,11,210,21
MUTKEEM CONCEPT,Lagos,Alimosho,Choice Mart,RET-LAG-9247,"35 Broad Street, Alimosho",6.615077,3.298749,2347179393446,197,191,200,156,247,219,35,69,205,25,59,112,175,167,52
MUTKEEM CONCEPT,Lagos,Ikorodu,Family Outlet,RET-LAG-6019,"21 Commercial Street, Ikorodu",6.625263,3.521733,2348657986035,94,128,65,50,56,108,248,71,171,62,248,244,166,159,44
MUTKEEM CONCEPT,Lagos,Ikeja,Green Stores,RET-LAG-2549,"58 Commercial Street, Ikeja",6.587549,3.332663,2348741730759,92,36,107,220,95,45,140,111,82,74,60,174,65,222,107
MUTKEEM CONCEPT,Lagos,Ogba,City Mart,RET-LAG-7488,"21 Broad Street, Ogba",6.619097,3.336044,2348174194264,144,89,59,222,248,12,64,199,171,121,235,100,201,246,211
MUTKEEM CONCEPT,Lagos,Alimosho,Fresh Center,RET-LAG-1096,"51 Broad Street, Alimosho",6.594284,3.276867,2348634925095,227,75,243,231,141,68,198,95,121,230,246,150,72,97,23
MUTKEEM CONCEPT,Lagos,Lekki,Best Outlet,RET-LAG-5780,"57 Commercial Street, Lekki",6.464345,3.566658,2348336218957,104,70,91,75,71,26,31,178,58,170,61,18,213,250,31
MUTKEEM CONCEPT,Lagos,Apapa,City Hub,RET-LAG-4987,"111 Kings Street, Apapa",6.449183,3.340923,2347315794457,161,160,123,52,206,197,245,232,116,183,23,139,247,225,171
MUTKEEM CONCEPT,Lagos,Ikorodu,Green Corner,RET-LAG-2698,"71 Kings Street, Ikorodu",6.616263,3.494619,2348517169481,11,249,125,34,212,131,161,170,250,88,200,231,100,164,231
MUTKEEM CONCEPT,Lagos,Ogba,Family Supermarket,RET-LAG-6062,"70 Palm Street, Ogba",6.62113,3.34531,2347743137090,169,81,27,177,32,207,208,135,190,84,240,235,148,194,229
MUTKEEM CONCEPT,Lagos,Yaba,Value Bazaar,RET-LAG-1317,"50 Broad Street, Yaba",6.522048,3.374745,2347442313765,57,127,63,101,23,84,29,231,54,239,32,242,54,201,101
MUTKEEM CONCEPT,Lagos,Yaba,Fresh Mart,RET-LAG-7774,"25 Unity Street, Yaba",6.516959,3.372716,2348025525279,200,203,181,172,55,13,13,112,66,249,53,56,80,123,102
MUTKEEM CONCEPT,Lagos,Surulere,Prime Outlet,RET-LAG-3505,"20 Unity Street, Surulere",6.510877,3.364278,2347136945797,105,96,13,10,66,114,94,120,172,223,169,137,103,191,157
MUTKEEM CONCEPT,Lagos,Surulere,Mega Stores,RET-LAG-5184,"82 Unity Street, Surulere",6.490394,3.367758,2348950762728,158,198,28,40,146,150,59,119,25,152,27,193,19,93,246
MUTKEEM CONCEPT,Lagos,Ikorodu,Market Outlet,RET-LAG-2068,"76 Kings Street, Ikorodu",6.633356,3.519807,2347560587202,117,14,179,218,129,96,210,64,172,139,183,84,143,122,137
MUTKEEM CONCEPT,Lagos,Ogba,Super Supermarket,RET-LAG-6862,"125 Commercial Street, Ogba",6.653479,3.348351,2349040164967,139,63,169,219,20,155,30,141,105,22,184,165,225,24,86
MUTKEEM CONCEPT,Lagos,Maryland,Top Bazaar,RET-LAG-8219,"87 Commercial Street, Maryland",6.582413,3.364945,2347167230318,14,58,242,82,219,18,236,24,50,16,12,237,19,119,67
MUTKEEM CONCEPT,Lagos,Ikorodu,Family Outlet,RET-LAG-1777,"43 Market Street, Ikorodu",6.623935,3.494383,2347741098575,203,207,198,52,86,103,141,71,112,60,145,61,194,43,123
RENUZI VENTURES LEKKI,South East,Owerri,Top Center,RET-SOU-7889,"92 Broad Street, Owerri",5.504904,7.036274,2348534245022,192,207,183,204,77,20,189,226,226,237,104,133,25,70,225
RENUZI VENTURES LEKKI,South East,Aba,Super Corner,RET-SOU-6756,"101 Palm Street, Aba",5.100051,7.374868,2347036301281,117,245,167,34,22,82,160,139,139,209,233,107,244,93,100
RENUZI VENTURES LEKKI,South East,Umuahia,Unity Bazaar,RET-SOU-6685,"67 Palm Street, Umuahia",5.51366,7.492022,2347175808938,233,78,199,209,82,39,75,201,77,18,182,158,176,178,63
RENUZI VENTURES LEKKI,South East,Owerri,Daily Outlet,RET-SOU-2116,"149 Allen Street, Owerri",5.484072,7.04507,2347994987231,45,60,33,37,53,188,249,246,10,181,59,215,211,183,80
RENUZI VENTURES LEKKI,South East,Awka,Fresh Corner,RET-SOU-6952,"43 Market Street, Awka",6.219845,7.084712,2347775713068,211,90,107,187,179,173,61,115,222,107,52,69,77,228,95
RENUZI VENTURES LEKKI,South East,Owerri,Urban Outlet,RET-SOU-7881,"73 Allen Street, Owerri",5.465375,7.054041,2348191305947,46,233,165,250,238,196,198,109,154,134,204,156,69,194,37
RENUZI VENTURES LEKKI,South East,Aba,Super Outlet,RET-SOU-6954,"8 Market Street, Aba",5.108656,7.385102,2348202823949,199,115,231,163,250,90,65,201,102,87,146,36,45,65,173
RENUZI VENTURES LEKKI,South East,Onitsha,Top Shop,RET-SOU-3351,"39 Commercial Street, Onitsha",6.158973,6.777342,2347972891877,197,167,76,76,20,177,15,235,32,151,249,85,226,102,187
RENUZI VENTURES LEKKI,South East,Owerri,Super Stores,RET-SOU-9730,"22 Market Street, Owerri",5.465968,7.015342,2348613354023,239,92,47,244,140,127,173,48,87,143,31,248,141,175,142
RENUZI VENTURES LEKKI,South East,Umuahia,Choice Stores,RET-SOU-6449,"109 Unity Street, Umuahia",5.543568,7.485526,2348572151327,185,122,221,157,125,62,44,109,175,94,198,212,56,126,154
RENUZI VENTURES LEKKI,South East,Owerri,Golden Stores,RET-SOU-6420,"61 Allen Street, Owerri",5.498749,7.050331,2348859143030,137,123,131,244,35,195,188,97,129,69,48,131,64,191,244
RENUZI VENTURES LEKKI,South East,Owerri,Elite Mart,RET-SOU-7497,"131 Unity Street, Owerri",5.482974,7.024474,2348128583267,21,20,209,150,244,35,42,223,111,103,142,195,127,229,221
RENUZI VENTURES LEKKI,South East,Awka,Unity Center,RET-SOU-7792,"94 Palm Street, Awka",6.204986,7.070818,2347568297935,49,86,52,19,230,175,220,94,83,109,143,143,167,134,127
RENUZI VENTURES LEKKI,South East,Umuahia,Green Shop,RET-SOU-3342,"120 Commercial Street, Umuahia",5.516651,7.503852,2348351029787,48,93,17,230,64,12,204,194,72,148,94,223,188,18,29
RENUZI VENTURES LEKKI,South East,Owerri,Golden Hub,RET-SOU-7906,"88 Market Street, Owerri",5.48732,7.035853,2348216243346,237,152,11,122,72,231,15,62,43,74,206,62,207,164,96
RENUZI VENTURES LEKKI,South East,Onitsha,Value Center,RET-SOU-5204,"15 Allen Street, Onitsha",6.15152,6.780167,2348699274974,181,213,171,130,138,205,87,16,224,58,193,111,111,98,215
RENUZI VENTURES LEKKI,South East,Enugu,Fresh Shop,RET-SOU-5733,"13 Market Street, Enugu",6.451563,7.528299,2348052859588,88,208,174,219,174,92,111,51,18,147,89,149,101,230,97
RENUZI VENTURES LEKKI,South East,Aba,Value Outlet,RET-SOU-7345,"3 Commercial Street, Aba",5.102571,7.360874,2347277616337,100,29,133,18,88,153,106,249,68,108,203,30,214,205,23
RENUZI VENTURES LEKKI,South East,Umuahia,Family Hub,RET-SOU-3813,"108 Allen Street, Umuahia",5.548017,7.502106,2347668611151,26,24,112,27,112,159,130,48,230,163,62,74,14,242,133
RENUZI VENTURES LEKKI,South East,Owerri,City Stores,RET-SOU-7325,"26 Allen Street, Owerri",5.492519,7.045598,2348681696052,125,78,49,103,176,168,218,184,35,242,208,62,199,228,182
MAQUAHM NIGERIA LIMITED,South South,Uyo,Express Hub,RET-SOU-8063,"136 Kings Street, Uyo",5.042334,7.904309,2347860730210,129,238,122,201,209,94,157,54,73,153,169,197,65,169,124
MAQUAHM NIGERIA LIMITED,South South,Uyo,Family Bazaar,RET-SOU-6515,"38 Market Street, Uyo",5.049823,7.911364,2347017253893,216,55,101,114,20,242,30,76,96,77,247,206,185,194,10
MAQUAHM NIGERIA LIMITED,South South,Benin,Urban Hub,RET-SOU-5662,"112 Allen Street, Benin",6.320265,5.609565,2349023157819,39,202,228,154,219,157,38,195,158,167,141,76,118,49,27
MAQUAHM NIGERIA LIMITED,South South,Benin,Prime Shop,RET-SOU-3373,"79 Commercial Street, Benin",6.343805,5.594156,2347614932194,21,113,100,59,142,215,113,74,99,28,211,239,132,249,118
MAQUAHM NIGERIA LIMITED,South South,Port Harcourt,Unity Hub,RET-SOU-4113,"135 Broad Street, Port Harcourt",4.829344,7.042167,2348120934768,123,96,10,68,34,167,217,185,235,242,71,187,206,24,214
MAQUAHM NIGERIA LIMITED,South South,Benin,Super Supermarket,RET-SOU-1331,"78 Allen Street, Benin",6.336506,5.583833,2347955273586,152,125,211,33,19,242,177,13,204,151,189,81,223,248,163
MAQUAHM NIGERIA LIMITED,South South,Warri,Urban Stores,RET-SOU-7403,"84 Palm Street, Warri",5.506315,5.760474,2347365618368,49,56,240,171,27,240,228,208,250,236,113,244,100,177,189
MAQUAHM NIGERIA LIMITED,South South,Uyo,Prime Corner,RET-SOU-2211,"77 Commercial Street, Uyo",5.018502,7.917561,2347492704555,164,180,225,147,228,229,18,59,50,163,151,232,227,63,114
MAQUAHM NIGERIA LIMITED,South South,Calabar,Family Bazaar,RET-SOU-9700,"91 Palm Street, Calabar",4.9788,8.332281,2349000068578,146,222,54,84,165,69,218,226,163,11,144,237,161,86,229
MAQUAHM NIGERIA LIMITED,South South,Warri,Market Retail,RET-SOU-1856,"38 Market Street, Warri",5.533175,5.740975,2347226203056,186,170,127,179,175,249,163,191,165,195,71,234,40,24,175
MAQUAHM NIGERIA LIMITED,South South,Uyo,Fresh Shop,RET-SOU-3339,"122 Kings Street, Uyo",5.028131,7.902131,2349062501206,221,228,90,40,88,160,241,202,11,162,58,181,125,246,147
MAQUAHM NIGERIA LIMITED,South South,Port Harcourt,Fresh Mart,RET-SOU-5032,"72 Market Street, Port Harcourt",4.803825,7.037559,2348062404323,156,54,205,147,131,23,36,228,79,21,104,240,47,102,180
MAQUAHM NIGERIA LIMITED,South South,Calabar,Royal Corner,RET-SOU-2626,"15 Market Street, Calabar",4.976932,8.339329,2348111499209,178,10,40,101,123,32,30,65,99,118,154,115,166,203,114
MAQUAHM NIGERIA LIMITED,South South,Benin,Daily Supermarket,RET-SOU-5767,"35 Unity Street, Benin",6.336366,5.612839,2348573110508,71,214,240,88,31,246,55,158,55,11,54,102,66,195,213
MAQUAHM NIGERIA LIMITED,South South,Warri,Top Center,RET-SOU-8020,"66 Palm Street, Warri",5.500496,5.761186,2347144129634,12,216,87,85,246,195,110,10,10,230,35,163,222,41,130
MAQUAHM NIGERIA LIMITED,South South,Benin,Royal Stores,RET-SOU-8020,"94 Commercial Street, Benin",6.321754,5.592653,2348866143484,94,191,173,91,112,139,137,186,235,183,107,129,197,82,155
MAQUAHM NIGERIA LIMITED,South South,Warri,City Center,RET-SOU-2485,"6 Market Street, Warri",5.521143,5.742342,2347195263252,28,188,144,214,194,145,106,108,203,90,129,15,178,181,35
MAQUAHM NIGERIA LIMITED,South South,Benin,Smart Shop,RET-SOU-8721,"47 Unity Street, Benin",6.326139,5.594618,2347201424353,76,42,213,182,32,243,158,71,210,194,249,194,180,70,220
MAQUAHM NIGERIA LIMITED,South South,Port Harcourt,Choice Corner,RET-SOU-8375,"93 Kings Street, Port Harcourt",4.829943,7.0622,2348249204562,165,123,183,22,137,151,214,167,163,121,141,97,50,66,25
MAQUAHM NIGERIA LIMITED,South South,Warri,Value Retail,RET-SOU-1698,"42 Palm Street, Warri",5.49994,5.764385,2347059654698,246,81,40,184,183,51,118,199,169,160,124,227,12,91,82
MAQUAHM NIGERIA LIMITED,South South,Warri,City Supermarket,RET-SOU-3084,"77 Palm Street, Warri",5.508857,5.732609,2347749746399,179,129,80,184,114,152,191,153,234,56,205,64,23,93,74
MAQUAHM NIGERIA LIMITED,South South,Warri,Fresh Retail,RET-SOU-2931,"83 Market Street, Warri",5.52118,5.763868,2347439539957,27,202,88,190,140,220,157,48,44,189,86,131,221,126,175
MAQUAHM NIGERIA LIMITED,South South,Benin,Elite Center,RET-SOU-7829,"50 Unity Street, Benin",6.326998,5.620073,2348834007056,148,98,207,230,93,226,12,46,135,63,178,125,235,242,141
MAQUAHM NIGERIA LIMITED,South South,Port Harcourt,Express Hub,RET-SOU-6375,"74 Broad Street, Port Harcourt",4.830822,7.066108,2348441665296,84,90,92,176,172,224,216,171,184,99,247,36,149,96,90
MAQUAHM NIGERIA LIMITED,South South,Warri,Royal Retail,RET-SOU-1070,"150 Broad Street, Warri",5.497462,5.744606,2347468427763,203,236,212,62,76,86,212,180,40,70,109,221,64,36,157
MAQUAHM NIGERIA LIMITED,South South,Warri,Daily Corner,RET-SOU-6898,"79 Commercial Street, Warri",5.535116,5.741904,2348682654650,34,232,53,41,53,247,199,173,114,58,129,60,10,64,139
MAQUAHM NIGERIA LIMITED,South South,Calabar,Value Outlet,RET-SOU-4678,"10 Unity Street, Calabar",4.957463,8.345188,2347771238867,151,62,27,26,217,188,148,218,91,129,195,50,162,156,214
MAQUAHM NIGERIA LIMITED,South South,Benin,Top Corner,RET-SOU-1202,"68 Palm Street, Benin",6.328662,5.612088,2347048558387,39,102,98,202,144,188,41,58,81,139,228,250,23,61,157
MAQUAHM NIGERIA LIMITED,South South,Benin,Daily Outlet,RET-SOU-6829,"62 Broad Street, Benin",6.353768,5.608416,2348971770822,200,216,162,183,147,134,213,83,156,95,172,104,132,116,233
MAQUAHM NIGERIA LIMITED,South South,Calabar,City Hub,RET-SOU-6543,"101 Palm Street, Calabar",4.962014,8.314399,2348869870793,153,89,73,215,188,60,61,23,102,98,189,59,90,69,29
MAQUAHM NIGERIA LIMITED,South South,Uyo,Family Mart,RET-SOU-6828,"38 Kings Street, Uyo",5.029089,7.898168,2347915219228,143,93,36,180,80,236,121,123,241,62,45,69,243,82,194
MAQUAHM NIGERIA LIMITED,South South,Calabar,Choice Center,RET-SOU-1324,"11 Market Street, Calabar",4.972785,8.318527,2348442058773,207,226,192,88,181,107,240,23,207,189,119,179,176,190,81
MAQUAHM NIGERIA LIMITED,South South,Calabar,Elite Shop,RET-SOU-6601,"133 Kings Street, Calabar",4.954037,8.33879,2349003734139,165,208,232,114,140,68,48,112,246,197,128,98,189,168,171
MAQUAHM NIGERIA LIMITED,South South,Port Harcourt,Mega Hub,RET-SOU-6136,"97 Unity Street, Port Harcourt",4.830903,7.039421,2347228977071,24,99,101,193,164,97,92,168,24,241,84,84,218,116,172
MAQUAHM NIGERIA LIMITED,South South,Port Harcourt,Super Center,RET-SOU-4229,"16 Unity Street, Port Harcourt",4.834828,7.046654,2347809280318,86,11,30,95,207,250,234,144,221,13,209,168,198,59,179
ITURA VENTURES,Lagos,Ajah,Green Retail,RET-LAG-2269,"50 Kings Street, Ajah",6.450951,3.547184,2347861083376,179,26,159,99,185,28,34,120,141,49,203,208,196,218,43
ITURA VENTURES,Lagos,Ajah,Choice Retail,RET-LAG-5908,"37 Broad Street, Ajah",6.481356,3.538723,2348882232521,89,32,141,137,195,66,241,239,62,143,38,175,101,23,216
ITURA VENTURES,Lagos,Ikeja,Smart Hub,RET-LAG-6366,"31 Unity Street, Ikeja",6.591984,3.363113,2347477608218,121,247,50,33,182,218,181,59,155,104,204,129,40,39,248
ITURA VENTURES,Lagos,Ikeja,Royal Corner,RET-LAG-6385,"29 Palm Street, Ikeja",6.607237,3.344371,2347614746851,17,188,78,106,144,154,77,50,28,44,129,76,153,239,75
ITURA VENTURES,Lagos,Alimosho,Express Outlet,RET-LAG-4473,"117 Allen Street, Alimosho",6.610243,3.283076,2348581167472,238,41,155,97,76,131,210,24,205,128,17,211,84,114,247
ITURA VENTURES,Lagos,Festac,Fresh Mart,RET-LAG-5809,"13 Palm Street, Festac",6.475926,3.301635,2348684682188,62,206,163,39,31,133,237,190,52,123,164,66,156,37,208
ITURA VENTURES,Lagos,Ajah,City Bazaar,RET-LAG-1843,"101 Allen Street, Ajah",6.483992,3.519196,2347703759083,62,96,244,197,155,129,234,222,236,44,83,25,231,236,17
ITURA VENTURES,Lagos,Festac,Super Mart,RET-LAG-7823,"26 Commercial Street, Festac",6.485054,3.266971,2347691433663,172,146,32,154,220,18,150,49,64,20,226,148,169,150,151
ITURA VENTURES,Lagos,Ajah,Prime Stores,RET-LAG-1425,"125 Kings Street, Ajah",6.462978,3.550865,2347373746470,117,21,49,232,102,140,184,175,160,194,146,199,239,214,92
ITURA VENTURES,Lagos,Maryland,Fresh Mart,RET-LAG-4474,"18 Palm Street, Maryland",6.560769,3.356462,2347650724969,136,30,171,86,21,184,74,106,37,218,64,72,242,57,123
ITURA VENTURES,Lagos,Ogba,Market Mart,RET-LAG-5151,"89 Kings Street, Ogba",6.642214,3.336009,2347565439505,87,120,123,220,85,250,212,33,51,38,10,138,101,172,153
ITURA VENTURES,Lagos,Apapa,Top Shop,RET-LAG-3456,"136 Commercial Street, Apapa",6.442165,3.358236,2348071574836,217,91,57,10,39,217,28,137,229,167,194,81,81,21,13
ITURA VENTURES,Lagos,Lekki,Fresh Outlet,RET-LAG-4313,"36 Palm Street, Lekki",6.47071,3.587981,2347711518269,177,125,54,79,248,23,87,246,11,246,181,170,17,101,107
ITURA VENTURES,Lagos,Surulere,Unity Bazaar,RET-LAG-2503,"88 Kings Street, Surulere",6.510769,3.348371,2347781453653,75,155,98,232,232,181,129,69,237,95,34,63,132,129,90
ITURA VENTURES,Lagos,Ikeja,City Mart,RET-LAG-4518,"81 Kings Street, Ikeja",6.608761,3.370403,2348667329695,164,180,148,64,42,34,48,65,208,134,230,182,71,185,74
ITURA VENTURES,Lagos,Ogba,City Center,RET-LAG-3850,"86 Market Street, Ogba",6.646165,3.353142,2348696375715,242,36,203,110,159,221,157,86,73,221,162,76,37,62,241
ITURA VENTURES,Lagos,Surulere,Unity Shop,RET-LAG-5230,"55 Allen Street, Surulere",6.485749,3.351242,2348841501321,226,147,160,190,131,142,137,123,159,247,200,145,227,92,140
ITURA VENTURES,Lagos,Maryland,Green Stores,RET-LAG-9205,"49 Kings Street, Maryland",6.560157,3.366208,2347031202605,89,171,220,181,165,84,184,155,221,193,14,194,55,69,181
ITURA VENTURES,Lagos,Festac,Elite Retail,RET-LAG-7471,"38 Palm Street, Festac",6.464731,3.288012,2347971523986,132,34,129,106,194,21,98,159,239,176,89,18,243,127,35
ITURA VENTURES,Lagos,Maryland,Smart Bazaar,RET-LAG-7263,"71 Market Street, Maryland",6.58088,3.379034,2348712335275,105,150,111,109,240,197,40,205,44,63,245,123,75,190,58
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Market Shop,RET-NOR-6292,"63 Unity Street, Jalingo",8.89988,11.339825,2349055261626,80,115,71,44,145,33,73,230,38,202,129,117,85,169,48
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,Unity Retail,RET-NOR-6573,"63 Commercial Street, Yola",9.190037,12.490279,2347685775539,149,56,106,150,123,93,205,95,168,192,202,79,168,23,208
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,Unity Corner,RET-NOR-3840,"40 Kings Street, Yola",9.190152,12.467254,2347477311863,209,18,240,167,135,90,131,29,74,75,226,182,67,130,60
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Urban Corner,RET-NOR-3318,"51 Kings Street, Maiduguri",11.826184,13.152096,2347940734699,161,79,203,54,218,137,108,150,196,113,122,38,162,194,162
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Golden Center,RET-NOR-3311,"70 Market Street, Maiduguri",11.817237,13.138188,2348008518151,103,149,60,26,141,108,129,74,112,46,173,137,56,49,146
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Prime Shop,RET-NOR-6590,"62 Allen Street, Maiduguri",11.831494,13.132581,2348669603947,18,247,171,244,144,148,145,177,226,76,19,229,113,52,147
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Express Center,RET-NOR-8510,"63 Unity Street, Maiduguri",11.847167,13.169782,2348899606602,102,84,213,89,184,159,205,204,103,95,203,193,75,36,79
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Elite Supermarket,RET-NOR-9956,"20 Palm Street, Maiduguri",11.84258,13.152953,2348771722465,154,167,215,70,203,101,203,82,196,192,129,112,110,222,228
SALSBURY WORLDWIDE ENTERPRISES,North East,Bauchi,Elite Shop,RET-NOR-3762,"34 Market Street, Bauchi",10.317734,9.830745,2347176220588,49,235,179,128,35,152,149,166,177,174,163,210,124,83,165
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Super Retail,RET-NOR-6657,"129 Allen Street, Maiduguri",11.824053,13.132578,2348453344907,21,104,206,135,248,133,42,11,175,107,204,222,224,240,90
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,Market Shop,RET-NOR-7583,"146 Broad Street, Yola",9.209845,12.491124,2347727992945,227,91,233,24,101,247,15,13,26,202,178,99,247,177,162
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,City Supermarket,RET-NOR-6804,"97 Commercial Street, Maiduguri",11.814476,13.149387,2347022462856,205,44,51,133,16,223,55,70,205,156,85,245,52,186,193
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,Smart Shop,RET-NOR-4693,"37 Unity Street, Yola",9.20651,12.476248,2348785500365,137,225,223,151,201,38,228,50,217,85,89,62,53,106,105
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,City Center,RET-NOR-8647,"82 Kings Street, Yola",9.201021,12.462495,2347331756665,77,190,140,76,140,149,117,207,20,41,116,78,168,71,141
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Family Retail,RET-NOR-2141,"98 Palm Street, Jalingo",8.875973,11.35703,2348844323528,244,128,191,84,73,179,90,27,52,183,24,42,44,187,178
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Unity Supermarket,RET-NOR-7711,"135 Broad Street, Jalingo",8.887296,11.354116,2347278873277,28,212,241,43,10,150,51,140,150,119,192,61,67,107,26
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,Mega Supermarket,RET-NOR-7092,"122 Allen Street, Yola",9.202507,12.491975,2348295722597,41,214,248,125,32,90,194,162,220,146,11,39,230,145,176
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Daily Outlet,RET-NOR-4311,"85 Commercial Street, Jalingo",8.907739,11.367878,2349027770924,205,78,227,34,149,212,148,33,149,10,20,193,67,204,171
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Unity Corner,RET-NOR-7097,"109 Market Street, Maiduguri",11.831293,13.130836,2347023114297,167,192,74,127,43,154,162,119,208,53,109,202,196,235,23
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,Best Shop,RET-NOR-1808,"130 Market Street, Yola",9.220855,12.46586,2348588722345,63,67,84,142,38,71,241,190,244,244,70,13,96,125,30
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,Royal Supermarket,RET-NOR-6550,"118 Commercial Street, Yola",9.223936,12.477984,2348295406611,155,70,117,129,113,198,245,178,44,206,164,83,49,109,54
SALSBURY WORLDWIDE ENTERPRISES,North East,Bauchi,Royal Hub,RET-NOR-9215,"21 Commercial Street, Bauchi",10.299454,9.85676,2348978560002,249,78,43,204,201,138,90,17,139,221,181,222,92,104,214
SALSBURY WORLDWIDE ENTERPRISES,North East,Bauchi,Super Retail,RET-NOR-9200,"118 Commercial Street, Bauchi",10.329799,9.848964,2348398640304,240,185,225,64,88,148,173,44,27,36,188,130,32,53,57
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Prime Supermarket,RET-NOR-3214,"71 Commercial Street, Maiduguri",11.821104,13.134794,2349037524514,217,55,118,140,171,97,208,49,182,193,215,44,141,98,149
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Mega Supermarket,RET-NOR-9976,"97 Unity Street, Maiduguri",11.821064,13.134288,2348455995554,67,142,187,224,197,118,143,84,138,31,120,103,72,131,114
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Urban Outlet,RET-NOR-5004,"17 Broad Street, Jalingo",8.874429,11.37422,2347944637099,247,112,51,242,246,225,234,145,157,166,209,32,103,11,181
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Express Center,RET-NOR-7623,"123 Kings Street, Jalingo",8.900599,11.353675,2347017330016,29,193,230,64,65,75,150,244,25,211,68,244,249,182,108
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Mega Bazaar,RET-NOR-3769,"75 Unity Street, Jalingo",8.88555,11.368562,2348579926138,13,248,16,148,71,80,131,38,211,222,76,42,230,215,139
SALSBURY WORLDWIDE ENTERPRISES,North East,Bauchi,Best Supermarket,RET-NOR-5887,"148 Broad Street, Bauchi",10.326319,9.826611,2348604022976,189,94,55,215,232,87,22,145,74,148,78,183,138,92,42
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Daily Center,RET-NOR-1412,"148 Broad Street, Maiduguri",11.847832,13.131522,2347653063246,220,174,231,247,113,206,188,60,42,47,85,62,221,166,228
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Urban Hub,RET-NOR-3300,"27 Allen Street, Jalingo",8.892396,11.372103,2347192716137,234,89,66,156,155,135,94,241,168,11,142,202,195,227,141
SALSBURY WORLDWIDE ENTERPRISES,North East,Yola,Daily Supermarket,RET-NOR-5517,"141 Broad Street, Yola",9.225707,12.500576,2348176639715,203,139,110,155,177,182,50,189,42,169,52,56,57,194,51
SALSBURY WORLDWIDE ENTERPRISES,North East,Jalingo,Family Supermarket,RET-NOR-9621,"28 Unity Street, Jalingo",8.895332,11.368871,2347272263758,25,62,238,209,153,135,65,123,200,171,106,10,125,87,83
SALSBURY WORLDWIDE ENTERPRISES,North East,Bauchi,Unity Mart,RET-NOR-8007,"55 Palm Street, Bauchi",10.297305,9.85187,2349097933833,139,101,158,61,16,105,242,87,151,66,191,198,170,105,201
SALSBURY WORLDWIDE ENTERPRISES,North East,Maiduguri,Family Corner,RET-NOR-8550,"3 Unity Street, Maiduguri",11.814029,13.147621,2348229375697,65,121,216,237,124,245,111,10,167,92,189,96,183,243,227
